area_name,pctdem2016,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr,Obama,Romney,population2014,population2010,population_change,age65plus,White,Black,Hispanic,NonEnglish,Edu_highschool,Edu_batchelors,Income,Poverty,Density
Custer County,0.260117493,797,2059,3064,CO,0.319614386,0.658509455,4361,4255,2.5,29,0.959,0.012,0.053,5.9,94.6,32.7,25761,14.6,5.8
Delta County,0.242962607,4048,11584,16661,CO,0.289649895,0.686308271,29870,30952,-3.5,23.5,0.952,0.007,0.147,9.8,87.8,18.3,24771,15.5,27.1
Denver County,0.751690767,174611,43637,232291,CO,0.73454287,0.244270987,663862,600025,10.6,10.9,0.807,0.102,0.308,26.9,85.4,42.9,33251,19.1,3922.6
Dolores County,0.184552846,227,936,1230,CO,0.270114943,0.688013136,1978,2064,-4.2,22,0.932,0.003,0.051,2.1,88.8,18.4,22880,14.9,1.9
Douglas County,0.366530358,67045,100178,182918,CO,0.360235749,0.625532765,314638,285465,10.2,9.9,0.913,0.014,0.083,8.8,97.5,55.8,43634,3.9,339.7
Eagle County,0.559550661,12652,8153,22611,CO,0.563064271,0.416420846,52921,52197,1.4,8.1,0.951,0.01,0.3,29.6,88.7,47,39497,10.9,31
Elbert County,0.194786156,3056,11536,15689,CO,0.253126563,0.725219753,24195,23086,4.8,13.9,0.954,0.008,0.064,5.2,96.6,29.6,36077,6.5,12.5
El Paso County,0.337746949,105807,176506,313273,CO,0.380941496,0.594399936,663519,622261,6.6,11.5,0.837,0.07,0.163,11.6,93.6,35.2,28867,12.4,292.6
Fremont County,0.241087751,5275,15066,21880,CO,0.327969197,0.646016389,46502,46824,-0.7,20.3,0.915,0.04,0.13,11,84.1,15.6,18954,17.6,30.5
Garfield County,0.425592525,11205,13071,26328,CO,0.463768728,0.513146233,57461,56389,1.9,10.7,0.942,0.012,0.281,24.8,85.2,26.6,26603,11.9,19.1
Gilpin County,0.457190823,1634,1564,3574,CO,0.566799144,0.403546316,5851,5441,7.5,13.2,0.931,0.018,0.064,4.3,94.4,29.1,38022,10.8,36.3
Grand County,0.38987431,3319,4467,8513,CO,0.449064188,0.521165683,14546,14843,-2,13.9,0.956,0.005,0.08,9.6,94.4,32.8,31684,11.1,8
Gunnison County,0.545004839,5068,3250,9299,CO,0.576718908,0.392568251,15725,15324,2.6,11.2,0.945,0.005,0.093,9.2,93.3,54.5,27654,17.7,4.7
Hinsdale County,0.334465195,197,339,589,CO,0.381270903,0.588628763,786,843,-6.8,25.7,0.959,0.005,0.037,9.1,93.8,42.2,36365,5.1,0.8
Huerfano County,0.432396607,1631,1875,3772,CO,0.523599227,0.44576318,6462,6711,-3.7,29.7,0.893,0.01,0.344,14.9,84.7,28,24058,20.6,4.2
Jackson County,0.19837587,171,628,862,CO,0.254716981,0.70754717,1396,1394,0.1,20.9,0.959,0.001,0.11,7,88.7,22.2,25936,8.9,0.9
Jefferson County,0.490697156,151885,130233,309529,CO,0.509973313,0.46629863,558503,534583,4.5,14.7,0.922,0.013,0.152,10.3,93.7,40.7,36087,8.6,699.5
Kiowa County,0.106682298,91,726,853,CO,0.143727162,0.824604141,1402,1398,0.3,24.1,0.966,0.007,0.063,4,92.2,20.6,22482,17.4,0.8
Kit Carson County,0.145585386,526,2894,3613,CO,0.223829787,0.755744681,8072,8270,-2.4,17.2,0.941,0.025,0.193,15.2,84,13.5,21850,13.8,3.8
Lake County,0.503937008,1600,1264,3175,CO,0.603742065,0.363180755,7357,7310,0.6,11,0.939,0.007,0.378,28.8,86.8,28.1,25029,14.3,19.4
La Plata County,0.498014452,15300,12471,30722,CO,0.528990342,0.440877963,53989,51334,5.2,14.2,0.892,0.006,0.126,9.7,94.2,41.4,30151,11.4,30.3
Larimer County,0.475355472,92170,82624,193897,CO,0.513542574,0.461016048,324122,299630,8.2,13.9,0.932,0.011,0.111,9,94.4,43.8,30740,14.1,115.4
Las Animas County,0.390557299,2614,3656,6693,CO,0.502449479,0.475352113,14052,15507,-9.4,22.3,0.914,0.018,0.425,14.4,84.3,16.3,22180,17.8,3.2
Lincoln County,0.166111574,399,1873,2402,CO,0.238879004,0.739768683,5510,5469,0.7,17.4,0.906,0.056,0.134,10.9,81.5,15.6,19703,13.7,2.1
Logan County,0.189960833,1843,7272,9702,CO,0.296234773,0.678183832,22524,22709,-0.8,15.7,0.916,0.043,0.161,10.5,88.7,15.8,22581,17.6,12.4
Mesa County,0.279902773,20958,48129,74876,CO,0.325177814,0.65312242,148255,146723,1,16.9,0.942,0.01,0.141,8.2,89.6,25.7,26700,14.7,44.1
Mineral County,0.363496933,237,344,652,CO,0.447692308,0.529230769,698,712,-2,26.5,0.971,0.004,0.044,3.2,96.5,39.3,42255,6.4,0.8
Moffat County,0.134254992,874,5293,6510,CO,0.21367097,0.763985435,12928,13795,-6.3,12.9,0.952,0.005,0.143,10.5,89.2,15.6,24577,11.5,2.9
Montezuma County,0.308515662,3920,7771,12706,CO,0.366742969,0.602681491,25772,25535,0.9,19.1,0.831,0.005,0.122,13.4,89.9,27.3,23548,19.3,12.6
Montrose County,0.258092074,5438,14303,21070,CO,0.307127112,0.671197649,40873,41278,-1,21.3,0.943,0.007,0.202,13.3,85.7,24.5,22897,16,18.4
Morgan County,0.263122476,3128,8104,11888,CO,0.358942546,0.61662531,28328,28159,0.6,15.4,0.928,0.031,0.353,26.5,78.8,15.1,20680,13.3,22
Otero County,0.341206828,1719,2988,5038,CO,0.443587511,0.536758303,18488,18831,-1.8,19,0.914,0.012,0.41,18.5,83,15.5,19078,25.2,14.9
Ouray County,0.514146638,1690,1337,3287,CO,0.515237198,0.461828464,4629,4434,4.4,24.6,0.968,0.002,0.055,6.4,98.4,47.5,33015,5.6,8.2
Park County,0.327086384,3351,6053,10245,CO,0.410978573,0.561630219,16345,16201,0.9,16.2,0.946,0.006,0.062,3.8,95.6,32,31504,9.1,7.4
Phillips County,0.186963979,436,1791,2332,CO,0.259602649,0.722737307,4363,4442,-1.8,20.8,0.961,0.01,0.206,19.8,85.6,16.8,20720,19.9,6.5
Pitkin County,0.696928853,7239,2522,10387,CO,0.679824113,0.300746498,17626,17148,2.8,15.6,0.957,0.008,0.099,16.5,96,56.8,51814,10.1,17.7
Prowers County,0.235636802,1173,3508,4978,CO,0.311499272,0.665419006,12034,12551,-4.1,16.1,0.953,0.008,0.364,26.1,79.2,14.1,18941,23.3,7.7
Pueblo County,0.46488222,27945,27746,60112,CO,0.554170191,0.423198647,161875,159063,1.8,17.1,0.908,0.025,0.425,14.6,87.1,21.5,21940,19.1,66.7
Rio Blanco County,0.126018626,433,2782,3436,CO,0.169435216,0.808517064,6707,6666,0.6,13.7,0.942,0.011,0.111,10,91.3,23.1,27586,14.9,2.1
Rio Grande County,0.361698251,1985,3060,5488,CO,0.44525949,0.530350266,11607,11982,-3.1,18.6,0.934,0.007,0.442,25,84.1,20.3,20557,19.2,13.1
Routt County,0.543639268,7487,5149,13772,CO,0.566728026,0.411182697,23865,23509,1.5,12.3,0.964,0.006,0.07,4.7,96.9,48,34873,9.1,10
Saguache County,0.496859993,1345,1109,2707,CO,0.63018598,0.335121602,6196,6108,1.4,18.9,0.927,0.008,0.383,34.7,78,23.8,20726,24.7,1.9
San Juan County,0.523715415,265,215,506,CO,0.5256917,0.418972332,720,699,3,20.4,0.949,0.001,0.142,5.6,94.4,24.8,24711,17.1,1.8
San Miguel County,0.686615634,2960,1030,4311,CO,0.702491103,0.271411625,7840,7359,6.5,10.4,0.953,0.007,0.096,10,96.1,53.5,40827,10.6,5.7
Sedgwick County,0.195747801,267,1015,1364,CO,0.313388182,0.658937921,2348,2379,-1.3,24.4,0.954,0.005,0.151,10.3,86.8,15,21536,18.9,4.3
Summit County,0.591619451,9502,5064,16061,CO,0.609722038,0.365407634,29404,27994,5,10.8,0.954,0.01,0.147,15.2,95.7,47.7,34025,13.7,46
Teller County,0.249735971,3547,9580,14203,CO,0.320652174,0.651268116,23389,23350,0.2,18,0.947,0.007,0.062,5.1,93.6,31.6,31075,7,41.9
Washington County,0.106720827,289,2284,2708,CO,0.179587067,0.802103623,4780,4814,-0.7,20.8,0.97,0.008,0.095,5.5,90.4,18.5,24977,13.1,1.9
Weld County,0.342843262,45869,75882,133790,CO,0.420764009,0.553263233,277670,252837,9.8,11.1,0.931,0.014,0.288,18.5,85.6,25.9,25468,14.7,63.4
Yuma County,0.150300172,701,3755,4664,CO,0.212006249,0.766123633,10202,10043,1.6,17.4,0.973,0.004,0.219,15.5,88,17.7,22498,8.2,4.2
Fairfield County,0.581855274,238723,155457,410279,CT,0.549797625,0.440945083,945438,916828,3.1,14.4,0.798,0.122,0.187,28.2,89,44.8,48721,9.1,1467.2
Hartford County,0.585615915,233789,147912,399219,CT,0.62247984,0.365996153,897985,894029,0.4,15.6,0.768,0.152,0.17,24.6,88.1,34.9,34698,11.6,1216.2
Litchfield County,0.40885112,39836,53376,97434,CT,0.474254361,0.510876153,184993,189927,-2.6,18.4,0.944,0.018,0.055,9.8,91.3,33.4,37667,6.4,206.3
Middlesex County,0.512499717,45306,38847,88402,CT,0.573429842,0.413831534,164943,165676,-0.4,17.7,0.894,0.054,0.058,10.4,93.8,39.1,39992,6.4,448.6
New Haven County,0.541623106,203601,158373,375909,CT,0.618748033,0.371028261,861277,862474,-0.1,15.6,0.788,0.142,0.168,21.4,88.3,32.9,32523,12.4,1426.7
New London County,0.505520891,62951,54574,124527,CT,0.583201073,0.400857571,273676,274046,-0.1,16,0.839,0.069,0.099,13.9,90.5,31.3,33782,8.7,412.2
Tolland County,0.49890358,38450,33989,77069,CT,0.555001413,0.429372704,151367,152682,-0.9,14,0.903,0.036,0.05,10.6,93,36.9,34392,6.5,372.2
Windham County,0.42948149,21776,25738,50703,CT,0.556525282,0.423682292,116998,118434,-1.2,14.7,0.928,0.029,0.109,12.8,86.8,22.3,27893,11.4,230.9
District of Columbia,0.928465919,260223,11553,280272,DC,0.913638082,0.071243651,658893,601767,9.5,11.3,0.436,0.49,0.104,15.8,88.4,52.4,45290,18.6,9856.6
Kent County,0.4490997,33347,36989,74253,DE,0.51733679,0.467954972,171987,162344,5.9,15.6,0.683,0.252,0.069,8.9,85.2,21.4,24851,12.9,276.9
New Castle County,0.623039913,162905,85507,261468,DE,0.663006033,0.322376568,552778,538477,2.7,13.8,0.671,0.249,0.094,14.6,89.4,33.8,32406,10.7,1263.2
Sussex County,0.371680496,39329,62607,105814,DE,0.428804377,0.559094566,210849,197115,7,24.2,0.825,0.128,0.093,10.1,85.6,22.2,26908,13.4,210.6
Alachua County,0.58962504,75370,46584,127827,FL,0.578749647,0.405300952,256380,247335,3.7,12.5,0.706,0.205,0.091,13.8,91.2,40.5,24857,24.9,282.7
Baker County,0.167167959,2112,10294,12634,FL,0.203237727,0.789547774,27093,27115,-0.1,12.9,0.839,0.135,0.024,2.2,80.1,10,19852,17.3,46.3
