area_name,pctdem2016,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr,Obama,Romney,population2014,population2010,population_change,age65plus,White,Black,Hispanic,NonEnglish,Edu_highschool,Edu_batchelors,Income,Poverty,Density
Rock County,0.28562513,1373,3091,4807,MN,0.402691511,0.581780538,9553,9687,-1.4,20.5,0.967,0.008,0.025,4.5,90.1,17.9,24101,13.1,20.1
Roseau County,0.238959701,1856,5451,7767,MN,0.378171896,0.601500682,15679,15629,0.3,15.7,0.937,0.004,0.011,3.8,90.8,17.9,25650,9.7,9.3
Scott County,0.383142896,28502,39948,74390,MN,0.41609836,0.5646329,139672,129928,7.5,9.3,0.87,0.036,0.048,11.8,94.6,38,35467,5.5,364.5
Sherburne County,0.277420835,13299,31049,47938,MN,0.379900691,0.601208981,91126,88499,3,10.2,0.944,0.021,0.025,4.2,93.2,25.1,28071,7.8,204.4
Sibley County,0.252879513,1954,5193,7727,MN,0.374566474,0.602825947,14918,15226,-2,17.5,0.97,0.006,0.085,8.5,88.4,14.5,25789,11.8,25.9
St. Louis County,0.519225238,57769,44631,111260,MN,0.636931135,0.34067491,200949,200226,0.4,17.2,0.926,0.016,0.015,4.1,92.9,26.1,25946,16.4,32
Stearns County,0.323795657,25575,47618,78985,MN,0.429174448,0.550218732,152912,150642,1.5,13.5,0.919,0.039,0.031,6.9,91,24.6,26065,13.1,112.2
Steele County,0.327678571,6239,11198,19040,MN,0.457392035,0.5202795,36573,36576,0,16,0.947,0.027,0.075,8.1,92.4,24.9,27259,10.3,85.1
Stevens County,0.395514019,2116,2800,5350,MN,0.487813556,0.492083259,9800,9726,0.8,16.3,0.934,0.013,0.042,5.1,91.6,27.5,28746,15.4,17.3
Swift County,0.337962963,1679,2962,4968,MN,0.54079025,0.441910753,9436,9783,-3.5,21.4,0.969,0.008,0.04,4.5,88.4,17,25750,9.8,13.2
Todd County,0.233004019,2783,8485,11944,MN,0.409709233,0.571246387,24264,24895,-2.5,19.2,0.968,0.005,0.055,7.9,86.2,12.6,22383,15.7,26.3
Traverse County,0.352317141,631,1050,1791,MN,0.511956522,0.467391304,3387,3558,-4.8,25.7,0.924,0.005,0.019,3.6,89.5,15.1,28030,9,6.2
Wabasha County,0.328629718,3866,6989,11764,MN,0.461951885,0.516038219,21362,21664,-1.4,18.7,0.975,0.006,0.03,3,92.7,20,28282,8.3,41.4
Wadena County,0.24427038,1684,4837,6894,MN,0.367985824,0.611783816,13757,13843,-0.6,21.6,0.962,0.01,0.017,4,88.4,13.6,20329,16.9,25.8
Waseca County,0.296273097,2838,5967,9579,MN,0.450236967,0.527096641,19025,19136,-0.6,16.2,0.944,0.025,0.057,6.4,91.6,18.8,25723,9.4,45.2
Washington County,0.469648495,67086,64429,142843,MN,0.495395559,0.487873207,249283,238134,4.7,12.8,0.874,0.043,0.038,9.3,95.9,40.5,36706,5.7,619.7
Watonwan County,0.364916516,1814,2768,4971,MN,0.487585533,0.492082111,11083,11211,-1.1,19.2,0.948,0.017,0.229,20.8,84.5,15.9,25635,10.8,25.8
Wilkin County,0.272339128,893,2129,3279,MN,0.391656289,0.586550436,6495,6576,-1.2,18.1,0.966,0.004,0.024,3,90.1,16.5,25148,9.2,8.8
Winona County,0.439656506,11366,12122,25852,MN,0.552706342,0.423569347,51097,51461,-0.7,15.1,0.944,0.015,0.027,6.2,89.9,26.8,23421,15,82.2
Wright County,0.294068311,20336,43274,69154,MN,0.382228613,0.596117901,129918,124700,4.2,11.2,0.955,0.012,0.027,4.4,93.5,26.5,29623,6.5,188.5
Yellow Medicine County,0.290119931,1524,3382,5253,MN,0.456735223,0.519918473,10109,10438,-3.2,20.1,0.942,0.004,0.042,5.1,90,17.4,25303,12.2,13.8
Adair County,0.344776561,3495,6019,10137,MO,0.416757237,0.558047624,25602,25607,0,13.6,0.937,0.019,0.026,4.8,86.7,27.6,19258,23.7,45.1
Andrew County,0.223741794,2045,6665,9140,MO,0.318926078,0.656994943,17379,17291,0.5,17.5,0.97,0.008,0.022,1.3,90.3,22,25302,8.2,40
Atchison County,0.198677929,541,2059,2723,MO,0.279069767,0.702104097,5382,5685,-5.3,23.8,0.979,0.004,0.013,1.3,89.3,21.3,24748,11.6,10.4
Audrain County,0.255600916,2567,6981,10043,MO,0.355542157,0.621646066,25887,25529,1.4,16.7,0.902,0.069,0.026,4.9,84.3,13.1,19687,17,36.9
Barry County,0.185565598,2710,11427,14604,MO,0.265609155,0.712154136,35662,35597,0.2,20.2,0.951,0.005,0.088,8,82.2,13.3,19489,19.1,45.7
Barton County,0.134018881,795,4958,5932,MO,0.214410024,0.768534633,12057,12402,-2.8,18.6,0.947,0.008,0.025,3.2,85.8,16.9,20678,18.7,21
Bates County,0.201595811,1617,6000,8021,MO,0.329043881,0.645991507,16584,17049,-2.7,18.7,0.964,0.011,0.022,2.6,83.9,11.9,21047,18.6,20.4
Benton County,0.211185309,2024,7212,9584,MO,0.31942776,0.66277165,18806,19056,-1.3,28.8,0.97,0.005,0.018,2.1,82.9,10.8,19717,20.1,27.1
Bollinger County,0.124360557,705,4827,5669,MO,0.222364803,0.750504125,12394,12363,0.3,18,0.976,0.004,0.009,0.8,79.7,10.9,19470,19.9,20
Boone County,0.492990205,41072,36146,83312,MO,0.501689871,0.470931699,172717,162642,6.2,10.5,0.826,0.096,0.032,8.3,93,47.3,26895,20,237.3
Buchanan County,0.337710542,12010,21315,35563,MO,0.444197573,0.531533071,89486,89201,0.3,14.6,0.896,0.06,0.06,5.5,86.1,20.1,21961,17,218.6
Butler County,0.176183844,3036,13647,17232,MO,0.258333827,0.725205755,42972,42794,0.4,17.7,0.907,0.055,0.017,2.6,78.2,14.4,19246,21.2,61.6
Caldwell County,0.194244604,837,3231,4309,MO,0.314792616,0.653080796,9034,9424,-4.1,18.9,0.968,0.005,0.02,1.7,86.9,13.5,21482,14.3,22.1
Callaway County,0.260783186,4988,13052,19127,MO,0.333004169,0.644173799,44750,44332,0.9,14.2,0.919,0.047,0.02,2.5,86,21.1,23171,13,53.1
Camden County,0.212153999,4706,16721,22182,MO,0.294321393,0.687676602,44021,44002,0,24.9,0.968,0.006,0.025,4.3,89.4,20.8,23038,16.1,67.1
Cape Girardeau County,0.229640678,8468,26939,36875,MO,0.272286387,0.710445167,78043,75674,3.1,15.4,0.884,0.077,0.022,3.9,87.7,27.4,23751,15.8,130.8
Carroll County,0.170832378,745,3480,4361,MO,0.268122677,0.713754647,9043,9295,-2.7,20.6,0.955,0.021,0.013,1.9,83.9,15.6,24073,13.6,13.4
Carter County,0.153413089,436,2323,2842,MO,0.269381922,0.706680957,6258,6265,-0.1,17.8,0.963,0.004,0.019,1.3,74.7,13.8,18245,21.9,12.3
Cass County,0.292142364,14816,33006,50715,MO,0.348455421,0.631979228,100889,99478,1.4,15.5,0.924,0.04,0.043,3.5,92,23.3,27463,8.9,142.8
Cedar County,0.160879261,1010,5019,6278,MO,0.254178388,0.723978157,13952,13982,-0.2,24,0.967,0.003,0.021,3.2,84.1,14.6,16362,23.3,29.5
Chariton County,0.224129228,888,2948,3962,MO,0.350431824,0.628631248,7694,7827,-1.7,22.5,0.962,0.023,0.01,0.9,83.2,11.7,19481,16.5,10.4
Christian County,0.20546456,8505,30941,41394,MO,0.258458052,0.723677277,82101,77422,6,14.3,0.961,0.008,0.029,3.2,91.6,25.9,25134,10.6,137.6
Clark County,0.218335344,724,2458,3316,MO,0.433488372,0.536434109,6917,7139,-3.1,19.1,0.979,0.003,0.008,1.6,85.2,12,20279,17.6,14.1
Clay County,0.413614435,45182,57328,109237,MO,0.448015929,0.532223961,233682,221939,5.3,12.8,0.882,0.06,0.066,7.5,91.8,30.6,29406,9,558.6
Clinton County,0.252231048,2572,7058,10197,MO,0.374872838,0.600610376,20299,20743,-2.1,17.3,0.954,0.016,0.021,1.2,90.4,17.1,25100,10.2,49.5
Cole County,0.292718929,10907,24610,37261,MO,0.323897674,0.660801986,76557,75983,0.8,14,0.845,0.118,0.027,4.6,90.4,30.8,26160,13.3,193
Cooper County,0.24222668,1932,5623,7976,MO,0.329383571,0.65064572,17585,17601,-0.1,16.5,0.896,0.074,0.016,3.2,85.9,18.4,22910,17.8,31.2
Crawford County,0.183870968,1824,7724,9920,MO,0.308069736,0.671677628,24650,24696,-0.2,17.8,0.974,0.005,0.018,1.5,78.1,13.2,18415,21.1,33.3
Dade County,0.161225006,637,3184,3951,MO,0.241016427,0.743069815,7628,7883,-3.2,22.2,0.958,0.005,0.018,2.1,85.3,13.2,20034,20.6,16.1
Dallas County,0.170833333,1271,5895,7440,MO,0.291523561,0.68580849,16389,16777,-2.3,19.6,0.967,0.003,0.018,8.7,76.9,14.1,18155,22.8,31
Daviess County,0.197885606,730,2763,3689,MO,0.320045558,0.64977221,8297,8433,-1.6,18.9,0.975,0.006,0.015,9.3,84.2,16.4,19890,14.7,15
DeKalb County,0.179520697,824,3540,4590,MO,0.274482759,0.702528736,12692,12892,-1.6,15.7,0.866,0.116,0.02,4.3,83,9.5,16635,9.9,30.6
Dent County,0.144290351,978,5599,6778,MO,0.238597019,0.735059461,15655,15657,0,20.3,0.958,0.006,0.014,2.2,76.8,11.4,18544,20.9,20.8
Douglas County,0.147659064,984,5486,6664,MO,0.260677242,0.709121415,13546,13684,-1,22.2,0.967,0.004,0.012,1.7,81.7,10.5,16404,22.6,16.8
Dunklin County,0.223188954,2360,8026,10574,MO,0.341346605,0.643158982,31344,31953,-1.9,17.4,0.871,0.104,0.063,4.9,72.3,11.4,17990,25.6,59.1
Franklin County,0.246558098,12339,35420,50045,MO,0.349859361,0.628497198,102084,101491,0.6,15.6,0.969,0.01,0.017,2.3,85.4,17.9,24742,12.5,110
Gasconade County,0.204056959,1519,5670,7444,MO,0.294224839,0.686150827,14866,15221,-2.3,21.6,0.976,0.004,0.014,1.8,84.2,15.4,21830,14.8,29.4
Gentry County,0.19947247,605,2304,3033,MO,0.312645979,0.662662663,6826,6738,1.3,19.7,0.977,0.006,0.01,4.2,85.7,15.3,20534,17.2,13.7
Greene County,0.332264966,42400,77387,127609,MO,0.367163062,0.611163731,285865,275174,3.9,15.3,0.913,0.032,0.035,5.1,90.1,28.3,23520,18.7,407.5
Grundy County,0.17675051,780,3462,4413,MO,0.277091907,0.692729767,10197,10261,-0.6,21.2,0.968,0.008,0.02,4.4,85.4,14.9,19527,15.8,23.6
Harrison County,0.155893536,574,2965,3682,MO,0.266305819,0.71014885,8639,8957,-3.6,21,0.973,0.005,0.022,2.5,82.7,9.6,19468,16.3,12.4
Henry County,0.239066464,2356,7072,9855,MO,0.356091295,0.615453018,22028,22272,-1.1,20.5,0.957,0.014,0.021,2,85.8,14.4,22394,18.1,32
Hickory County,0.215391138,1016,3539,4717,MO,0.370299145,0.605769231,9219,9627,-4.2,31.9,0.967,0.004,0.014,2.6,82.4,10.4,17361,21.6,24.1
Holt County,0.147359455,346,1926,2348,MO,0.238528139,0.746753247,4516,4912,-8.1,22.8,0.975,0.003,0.01,1.6,89.7,16.2,24127,12.3,10.6
Howard County,0.263656978,1279,3277,4851,MO,0.354248097,0.619625591,10159,10148,0.1,17,0.916,0.056,0.014,1.9,85.6,22.7,21598,18.2,21.9
Howell County,0.165374677,2880,13888,17415,MO,0.268832997,0.706260327,40173,40400,-0.6,18.5,0.963,0.005,0.02,3,82.6,15.4,17416,23.8,43.6
Iron County,0.219014085,933,3173,4260,MO,0.414041181,0.558670305,10267,10631,-3.4,18.7,0.957,0.016,0.017,1.7,77.3,11,19101,23.7,19.3
Jackson County,0.556761646,163723,114777,294063,MO,0.586924075,0.397227998,683191,674158,1.3,13.5,0.704,0.24,0.088,8.8,88.3,27.6,26062,17.4,1115.3
Jasper County,0.219286411,10565,35058,48179,MO,0.283281357,0.693274058,117543,117404,0.1,13.9,0.912,0.024,0.075,7,84.3,20.2,21124,18.4,183.9
Jefferson County,0.297690834,31546,68973,105969,MO,0.425865407,0.552928401,222716,218728,1.8,13.3,0.964,0.011,0.018,3.2,87.4,17.4,24792,11.3,333.1
Johnson County,0.28093138,5924,13702,21087,MO,0.364792153,0.607113947,54362,52595,3.4,11.8,0.894,0.049,0.04,4.2,91.6,25.6,21547,17.6,63.4
Knox County,0.202999464,379,1413,1867,MO,0.35666837,0.615738375,4000,4131,-3.2,21,0.974,0.005,0.012,3.7,85,14.8,20946,26.3,8.2
Laclede County,0.159345824,2543,12834,15959,MO,0.266454007,0.711802617,35439,35571,-0.4,16.9,0.958,0.009,0.022,2.5,81.7,12.9,19553,19.7,46.5
Lafayette County,0.255896301,4047,10977,15815,MO,0.357912074,0.620803243,32688,33381,-2.1,17.9,0.944,0.024,0.026,2.3,86.9,17,23637,9.5,53.1
Lawrence County,0.173803526,2898,13084,16674,MO,0.25488951,0.72498095,38023,38634,-1.6,17.8,0.961,0.005,0.071,6.8,84.5,15.4,19060,18.6,63.2
Lewis County,0.209568733,933,3343,4452,MO,0.352267415,0.625759701,10138,10211,-0.7,18,0.942,0.033,0.016,7,87.4,12.5,19317,15,20.2
Lincoln County,0.223719677,5561,18111,24857,MO,0.341427878,0.632699015,54249,52565,3.2,12.4,0.953,0.02,0.022,2.6,85.2,14.2,22063,13.6,83.9
Linn County,0.222361809,1239,4084,5572,MO,0.36746879,0.602677764,12311,12761,-3.5,20.2,0.972,0.008,0.019,3.1,87.5,12.7,21015,15.1,20.7
Livingston County,0.197409488,1265,4879,6408,MO,0.314833168,0.661711265,15053,15195,-0.9,19.3,0.946,0.032,0.018,2,87,17.5,21011,17.8,28.5
Macon County,0.200290276,1518,5794,7579,MO,0.32253108,0.656516273,15479,15566,-0.6,21,0.949,0.023,0.013,2.7,85.8,15.3,20054,16.2,19.4
Madison County,0.18898082,1005,4102,5318,MO,0.322109533,0.654563895,12368,12225,1.2,19.2,0.97,0.005,0.021,4.3,75,7.7,17316,21.4,24.7
Maries County,0.176522899,794,3559,4498,MO,0.286249449,0.697443808,9013,9178,-1.8,19.3,0.972,0.005,0.011,2,82.7,16.5,22026,16.7,17.4
Marion County,0.231979538,2993,9418,12902,MO,0.331634331,0.65159487,28920,28781,0.5,16.9,0.915,0.052,0.016,2.5,84.1,18.5,21909,16.2,65.9
McDonald County,0.161423539,1329,6599,8233,MO,0.245618524,0.728412434,22800,23083,-1.2,14,0.891,0.016,0.116,13.1,78.5,10.5,17505,21.8,42.8
Mercer County,0.124209316,216,1486,1739,MO,0.213293051,0.758308157,3719,3785,-1.7,20.8,0.973,0.002,0.01,7.6,87.7,12.9,20178,20.3,8.3
Miller County,0.153320484,1750,9285,11414,MO,0.240584445,0.735003176,25141,24748,1.6,18,0.966,0.006,0.019,2,84.8,14.5,19385,20.9,41.8
Mississippi County,0.282284608,1458,3600,5165,MO,0.377592517,0.609190728,14232,14358,-0.9,16.2,0.736,0.247,0.02,1.5,71.6,9.8,15558,26.9,34.9
Moniteau County,0.181698002,1237,5344,6808,MO,0.249611922,0.730052779,15856,15607,1.6,14.8,0.938,0.041,0.046,8.2,82.3,18.1,19451,11.4,37.6
Monroe County,0.205690861,853,3159,4147,MO,0.344589598,0.631994084,8707,8840,-1.5,20.8,0.947,0.028,0.012,3.4,87.6,13.1,20331,14.7,13.6
Montgomery County,0.206120944,1118,4124,5424,MO,0.326123754,0.655632876,11841,12236,-3.2,19.8,0.961,0.016,0.016,1.3,80.8,12.1,20991,17.5,22.8
Morgan County,0.200567215,1768,6757,8815,MO,0.319175875,0.659875691,20240,20565,-1.6,23.7,0.961,0.01,0.019,7.6,79.2,12.7,17935,23.4,34.4
New Madrid County,0.262921654,1933,5270,7352,MO,0.388137931,0.590896552,18272,18960,-3.6,17.6,0.816,0.158,0.016,1.5,76.9,12.3,21215,21.7,28.1
Newton County,0.188183807,4988,20546,26506,MO,0.256180223,0.72484051,58598,58112,0.8,17.4,0.91,0.01,0.05,6.8,85.4,18.1,22341,15,93
Nodaway County,0.267930925,2529,6379,9439,MO,0.353386809,0.623106061,23081,23370,-1.2,13.9,0.943,0.027,0.015,3.6,91.1,23.4,18079,28.4,26.6
Oregon County,0.185463122,865,3668,4664,MO,0.320968107,0.652793486,10911,10881,0.3,22.1,0.954,0.005,0.014,1.5,79.8,9.8,16331,27.7,13.8
Osage County,0.141000283,998,5845,7078,MO,0.21277826,0.770453888,13703,13885,-1.3,16.7,0.985,0.003,0.007,2.2,88.6,15.4,22629,8.7,23
Ozark County,0.160853144,724,3639,4501,MO,0.283179879,0.691668538,9492,9723,-2.4,26.3,0.97,0.003,0.017,2.1,82.8,12.5,17215,20,13.1
Pemiscot County,0.322987552,1946,3964,6025,MO,0.42175904,0.567819359,17650,18296,-3.5,15.3,0.71,0.267,0.022,1.6,72.5,10,16881,29.3,37.1
Perry County,0.174072377,1520,6907,8732,MO,0.273444347,0.70977839,19202,18971,1.2,16.6,0.972,0.006,0.021,3.5,82.8,14.6,23435,12,40
Pettis County,0.23951233,4322,12792,18045,MO,0.343719061,0.631296954,42225,42201,0.1,15.3,0.929,0.034,0.083,12.2,81.8,15.2,19709,18.4,61.9
Phelps County,0.257365263,4761,12699,18499,MO,0.318781614,0.653892676,44847,45154,-0.7,14.9,0.909,0.024,0.025,5.1,86.8,27.2,21173,18.1,67.2
Pike County,0.244881356,1806,5274,7375,MO,0.352643804,0.625222025,18541,18516,0.1,16.5,0.904,0.076,0.022,3.4,78.9,10.3,18650,15.1,27.6
Platte County,0.405544478,18915,24975,46641,MO,0.420905877,0.562430017,94788,89322,6.1,13,0.874,0.064,0.057,7.3,94.2,39.2,35143,7.4,212.6
Polk County,0.191844774,2630,10435,13709,MO,0.272886653,0.70523668,31054,31137,-0.3,17.1,0.957,0.01,0.021,4.4,83.7,18.3,19511,23.6,49
Pulaski County,0.217064643,2918,9870,13443,MO,0.309409771,0.669957999,53436,52274,2.2,7.6,0.778,0.128,0.107,12.3,90.1,21.4,20863,12.8,95.5
Putnam County,0.15029889,352,1936,2342,MO,0.254222607,0.724556085,4829,4979,-3,23.6,0.981,0.003,0.014,1.9,84.7,13.7,19397,18.8,9.6
Ralls County,0.216103304,1138,3969,5266,MO,0.34471803,0.64158062,10255,10167,0.9,19.3,0.968,0.012,0.012,0.9,89.6,13.3,23299,9.9,21.6
Randolph County,0.221456979,2283,7529,10309,MO,0.304806919,0.670454545,25072,25414,-1.3,15.4,0.909,0.059,0.019,1.5,84.6,13.6,17587,19.4,52.7
Ray County,0.285002307,3088,7103,10835,MO,0.412139957,0.56108641,22949,23494,-2.3,17.1,0.959,0.014,0.023,1.9,88.3,13.9,24549,11.6,41.3
Reynolds County,0.178100264,540,2402,3032,MO,0.361389237,0.602941176,6565,6694,-1.9,22.7,0.958,0.009,0.015,0.8,77.1,6.7,18449,24.4,8.3
Ripley County,0.150416818,830,4520,5518,MO,0.265247957,0.711191336,13969,14100,-0.9,19.6,0.964,0.007,0.012,1.4,75.2,10.7,16408,24.6,22.4
Saline County,0.301460249,2787,5977,9245,MO,0.416162727,0.560307861,23347,23370,-0.1,16.6,0.895,0.052,0.098,9.2,82.8,17.2,19006,18.6,30.9
Schuyler County,0.183135023,354,1505,1933,MO,0.359463641,0.605466735,4370,4431,-1.4,19.7,0.985,0.002,0.011,6.4,85.9,9.8,18160,24,14.4
Scotland County,0.18546748,365,1525,1968,MO,0.332128099,0.643595041,4863,4843,0.4,18.9,0.985,0.001,0.009,9.9,78.7,17,20363,18.2,11.1
Scott County,0.207260496,3574,13168,17244,MO,0.301311842,0.683746103,38903,39187,-0.7,16.5,0.857,0.117,0.022,1.7,80.3,14.6,20825,19.1,93.3
Shannon County,0.198770492,776,2966,3904,MO,0.352494577,0.612798265,8329,8441,-1.3,19.6,0.958,0.004,0.018,2.4,81,11.2,16862,25.2,8.4
Shelby County,0.186346863,606,2524,3252,MO,0.298886139,0.676980198,6108,6373,-4.2,20.6,0.977,0.007,0.016,2.8,89.5,12.7,19331,18.4,12.7
St. Charles County,0.341957667,68225,120899,199513,MO,0.386848925,0.596626023,379493,360485,5.3,13.2,0.907,0.047,0.031,6.2,93.6,35.1,31586,5.8,643.2
St. Clair County,0.202159827,936,3501,4630,MO,0.315607436,0.652615651,9457,9805,-3.5,26.1,0.963,0.007,0.023,4.3,81.3,12.1,17337,21.8,14.6
St. Francois County,0.252893097,6250,17467,24714,MO,0.391190792,0.586454183,65960,65364,0.9,15.3,0.935,0.045,0.014,2,79.5,14.3,18544,19.4,144.6
St. Louis County,0.557834965,280866,199081,503493,MO,0.561798074,0.425257516,1001876,998883,0.3,16.5,0.699,0.239,0.027,8.7,92.1,40.6,34795,10.9,1967.2
St. Louis city,0.796582498,101487,20281,127403,MO,0.826541963,0.160250824,317419,319365,-0.6,11.4,0.466,0.475,0.038,9.6,82.9,29.6,23048,27.4,5157.5
Ste. Genevieve County,0.3002719,2540,5495,8459,MO,0.472490706,0.502478315,17914,18145,-1.3,17.3,0.962,0.009,0.01,2.1,82.1,10.7,22921,11.9,36.4
Stoddard County,0.141060401,1873,11077,13278,MO,0.245064511,0.73806933,29867,29968,-0.3,19,0.97,0.012,0.017,1.7,79.8,13.3,22967,15,36.4
Stone County,0.174507196,2886,13149,16538,MO,0.245398773,0.737448354,31104,32202,-3.4,27.4,0.968,0.005,0.02,1.8,84.9,15.2,21733,17.1,69.4
Sullivan County,0.211755233,526,1884,2484,MO,0.349903661,0.620423892,6411,6714,-4.5,18.4,0.96,0.017,0.176,16.7,82.1,12,19279,17,10.4
Taney County,0.186631907,4367,18240,23399,MO,0.252776749,0.727184376,54230,51675,4.9,19.7,0.944,0.014,0.055,6.2,84.7,18.6,20231,18.8,81.7
Texas County,0.158024691,1728,8875,10935,MO,0.266722408,0.707729469,25642,26008,-1.4,19.5,0.93,0.037,0.022,2.1,82.9,12,17868,21.4,22.1
Vernon County,0.198927239,1706,6526,8576,MO,0.302852447,0.675666158,21001,21159,-0.7,17.7,0.959,0.008,0.02,3.2,84.9,13.2,19734,21,25.6
Warren County,0.248319168,3915,11109,15766,MO,0.355614609,0.623466885,33253,32513,2.3,16.6,0.946,0.024,0.032,3.7,84.3,16,24692,13.4,75.9
Washington County,0.20756547,1926,7047,9279,MO,0.394846797,0.581244197,25077,25196,-0.5,15.4,0.954,0.024,0.013,2.6,71.6,8.4,17703,23.4,33.2
Wayne County,0.164865807,946,4640,5738,MO,0.316719133,0.662819168,13452,13523,-0.5,21.9,0.968,0.007,0.014,1,77.1,10.3,18970,21.9,17.8
Webster County,0.190113841,3173,12829,16690,MO,0.285779132,0.693988717,36888,36202,1.9,14.6,0.963,0.011,0.019,7.4,84.7,15,19955,18.9,61.1
Worth County,0.186424474,195,808,1046,MO,0.325381679,0.633587786,2073,2171,-4.5,24.3,0.976,0.008,0.013,0.9,92.9,15.6,22967,13.2,8.1
Wright County,0.144199852,1166,6703,8086,MO,0.245475113,0.732905983,18291,18815,-2.8,19.1,0.968,0.007,0.017,2.5,76.5,11.1,14752,27.5,27.6
Adams County,0.566644834,6921,5125,12214,MS,0.587254974,0.406871742,31737,32297,-1.7,16.7,0.446,0.534,0.08,5,78.8,17.5,17544,28.4,69.8
Alcorn County,0.181584467,2684,11817,14781,MS,0.2349135,0.751055714,37380,37057,0.9,17.1,0.857,0.125,0.031,2.9,78.5,17.4,19145,20.8,92.6
Amite County,0.382198208,2688,4282,7033,MS,0.420049602,0.573423835,12629,13128,-3.8,21,0.579,0.409,0.01,1.3,74.7,11.6,16977,25.7,18
Attala County,0.393123447,2847,4288,7242,MS,0.428880683,0.566917102,19163,19564,-2,19.5,0.564,0.423,0.02,1.7,73.2,16,18422,27.7,26.6
Benton County,0.428678679,1713,2240,3996,MS,0.496568627,0.49754902,8296,8730,-5,17.9,0.622,0.362,0.025,2.5,73,9.9,18597,24.1,21.5
Bolivar County,0.655443847,8410,4251,12831,MS,0.685369617,0.304811334,33768,34147,-1.1,13.7,0.338,0.647,0.022,3,73.8,21.2,16462,34.3,39
Calhoun County,0.297207761,1884,4360,6339,MS,0.358680057,0.631436314,14745,14962,-1.5,17.6,0.705,0.28,0.056,5.3,68.2,9.5,17034,23.7,25.5
Carroll County,0.301279707,1648,3774,5470,MS,0.33344504,0.662365952,10254,10597,-3.2,21,0.647,0.34,0.013,1.6,78.2,12.3,16897,24.4,16.9
Chickasaw County,0.462484157,3649,4127,7890,MS,0.512236618,0.471273394,17313,17392,-0.5,15.6,0.542,0.439,0.039,3.4,72,10,16677,25.3,34.7
Choctaw County,0.29800995,1198,2763,4020,MS,0.333506629,0.658435144,8294,8548,-3,19.2,0.686,0.295,0.013,0.7,78.3,12.6,17145,24.1,20.4
Claiborne County,0.854096141,2523,414,2954,MS,0.881133511,0.115633321,9080,9598,-5.4,14.3,0.143,0.841,0.012,1.5,80.9,18.6,12177,33.1,19.7
Clarke County,0.331388565,2556,5088,7713,MS,0.37435755,0.613279622,16299,16732,-2.6,18.5,0.644,0.342,0.011,0.8,77,11.7,18066,23.4,24.2
Clay County,0.571787149,5695,4136,9960,MS,0.606688063,0.386685992,20225,20634,-2,16.3,0.402,0.586,0.014,1.9,79.1,17.9,18273,26.4,50.3
Coahoma County,0.715664273,6378,2426,8912,MS,0.7491373,0.246366203,24807,26151,-5.1,13.3,0.235,0.749,0.015,1.2,76.6,17.5,15742,38.2,47.3
Copiah County,0.520997816,6203,5576,11906,MS,0.553837871,0.439470851,28797,29449,-2.2,15.4,0.471,0.514,0.028,3.6,79.6,13.5,18318,26.3,37.9
Covington County,0.371672355,3267,5423,8790,MS,0.415527611,0.577583379,19442,19571,-0.7,17,0.626,0.359,0.021,1,76.5,14.2,17241,29.9,47.3
DeSoto County,0.310705695,19892,42155,64022,MS,0.327663762,0.66221535,170913,161264,6,11.8,0.719,0.249,0.049,5.3,88.6,21.6,25176,9.8,338.7
Forrest County,0.413099252,11271,15149,27284,MS,0.434668394,0.551981,76330,74932,1.9,12.7,0.6,0.37,0.032,4.2,83.8,27,19736,27.6,160.7
Franklin County,0.34866082,1471,2685,4219,MS,0.383974792,0.608822867,7833,8118,-3.5,17.8,0.632,0.355,0.008,1.1,81.1,11.3,24234,23,14.4
George County,0.1030414,1013,8652,9831,MS,0.137594138,0.850091594,23303,22579,3.2,14.5,0.898,0.085,0.022,2.1,83.8,10.3,20217,18.6,47.2
Greene County,0.179530516,956,4309,5325,MS,0.223855381,0.764994087,14326,14395,-0.5,12.9,0.715,0.272,0.01,2.6,75.7,7.8,14463,18.2,20.2
Grenada County,0.420034476,4386,5940,10442,MS,0.466342756,0.528268551,21666,21906,-1.1,16.6,0.56,0.424,0.012,0.9,78.4,14.7,21084,21.9,51.9
Hancock County,0.189530171,3320,13720,17517,MS,0.227868178,0.755389767,45949,44014,4.4,17.3,0.878,0.084,0.036,5.2,85.4,22,22621,18.7,92.7
Harrison County,0.333123913,20679,39710,62076,MS,0.361059706,0.627349761,199058,187105,6.4,13.2,0.698,0.24,0.054,6.7,85.6,20.7,22677,19.9,326
Hinds County,0.709251005,64922,24919,91536,MS,0.722170444,0.270895851,243729,245365,-0.7,12.1,0.273,0.708,0.016,3.1,85.1,27.4,20448,25.3,282
Holmes County,0.826117814,5820,1151,7045,MS,0.838905399,0.156513125,18459,19478,-5.2,13.5,0.166,0.822,0.009,0.6,71.4,12.7,12113,43.5,25.4
Humphreys County,0.736871353,2652,924,3599,MS,0.758536041,0.238562821,8741,9375,-6.8,14.2,0.235,0.75,0.025,0.8,64.1,10.9,12874,44.9,22.4
Issaquena County,0.56509299,395,298,699,MS,0.608640407,0.383735705,1397,1406,-0.6,13.7,0.35,0.639,0.009,0.1,56.4,5.3,13731,32.5,3.4
Itawamba County,0.11417895,1100,8385,9634,MS,0.183182495,0.79333257,23527,23401,0.5,17.4,0.919,0.068,0.014,2.2,76.7,13.5,18106,15.7,43.9
